Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.009999	2.604000	12.156000	17.012000	2.381000	18.166000	24.150000	
1.000000	0.009998	2.359000	21.375000	28.380000	2.159000	30.012000	37.474000	
2.000000	0.009995	2.219000	27.937000	36.692000	2.036000	37.359000	46.183000	
3.000000	0.009990	2.108000	34.595000	44.040000	2.035000	37.758000	47.085000	
4.000000	0.009985	2.027000	39.027000	48.446000	1.981000	40.958000	50.347000	
5.000000	0.009978	1.975000	42.220000	51.475000	1.792000	50.822000	59.230000	
6.000000	0.009970	1.926000	45.566000	54.310000	1.798000	55.857000	60.687000	
7.000000	0.009961	1.869000	49.715000	57.804000	1.767000	54.157000	60.583000	
8.000000	0.009951	1.829000	51.910000	59.480000	1.766000	55.376000	61.416000	
9.000000	0.009939	1.803000	53.692000	61.306000	1.698000	58.917000	64.990000	
10.000000	0.009926	1.769000	56.185000	63.334000	1.685000	57.641000	64.955000	
10.000000	0.009902	1.743000	58.088000	64.747000	1.666000	61.481000	66.378000	
11.000000	0.009888	1.722000	59.398000	66.266000	1.656000	59.519000	66.343000	
12.000000	0.009873	1.695000	61.185000	67.793000	1.635000	65.305000	70.021000	
13.000000	0.009857	1.687000	61.357000	67.986000	1.645000	63.119000	67.661000	
14.000000	0.009839	1.654000	63.787000	70.023000	1.698000	56.398000	63.498000	
15.000000	0.009820	1.637000	65.215000	70.839000	1.614000	63.473000	68.772000	
16.000000	0.009801	1.636000	65.217000	70.822000	1.571000	68.117000	72.346000	
17.000000	0.009779	1.613000	66.970000	72.147000	1.596000	66.667000	70.680000	
18.000000	0.009757	1.597000	68.003000	72.981000	1.575000	67.191000	71.825000	
19.000000	0.009734	1.579000	69.288000	74.052000	1.567000	67.442000	72.484000	
20.000000	0.009709	1.578000	69.158000	73.727000	1.549000	68.283000	73.074000	
21.000000	0.009684	1.561000	70.699000	75.149000	1.573000	67.953000	71.790000	
22.000000	0.009657	1.543000	71.634000	75.922000	1.509000	70.576000	74.670000	
23.000000	0.009629	1.531000	73.384000	77.010000	1.515000	70.291000	75.121000	
24.000000	0.009600	1.525000	72.905000	76.817000	1.498000	72.590000	75.815000	
25.000000	0.009569	1.504000	74.973000	78.441000	1.517000	73.057000	76.232000	
26.000000	0.009538	1.496000	75.135000	78.590000	1.511000	70.775000	75.226000	
27.000000	0.009506	1.479000	76.235000	79.371000	1.516000	70.576000	74.636000	
28.000000	0.009472	1.467000	76.935000	80.416000	1.487000	74.154000	77.481000	
29.000000	0.009437	1.465000	77.631000	80.469000	1.506000	71.903000	75.538000	
30.000000	0.009402	1.454000	78.170000	81.127000	1.481000	74.091000	77.342000	
31.000000	0.009365	1.453000	78.520000	81.487000	1.491000	74.201000	77.065000	
32.000000	0.009327	1.446000	78.175000	81.355000	1.499000	72.715000	76.058000	
33.000000	0.009288	1.434000	79.344000	82.128000	1.488000	73.677000	77.065000	
34.000000	0.009248	1.424000	79.857000	82.374000	1.486000	73.084000	77.169000	
35.000000	0.009207	1.412000	80.944000	83.532000	1.468000	75.371000	78.383000	
36.000000	0.009165	1.412000	80.805000	83.234000	1.468000	75.000000	77.759000	
37.000000	0.009122	1.406000	81.276000	83.550000	1.434000	76.559000	79.598000	
38.000000	0.009078	1.394000	81.793000	84.006000	1.471000	74.826000	77.967000	
39.000000	0.009033	1.396000	81.397000	84.077000	1.454000	75.964000	78.834000	
40.000000	0.008986	1.378000	83.204000	85.060000	1.506000	72.863000	75.885000	
41.000000	0.008939	1.383000	82.678000	84.814000	1.461000	77.758000	78.626000	
42.000000	0.008891	1.373000	83.216000	85.314000	1.434000	77.310000	80.430000	
43.000000	0.008842	1.369000	83.432000	85.183000	1.425000	77.557000	80.222000	
44.000000	0.008792	1.356000	84.320000	86.359000	1.426000	76.660000	79.563000	
45.000000	0.008742	1.361000	83.823000	85.973000	1.443000	76.275000	78.973000	
46.000000	0.008690	1.360000	84.074000	85.867000	1.436000	77.262000	79.910000	
47.000000	0.008637	1.346000	84.724000	86.657000	1.415000	79.117000	81.541000	
