Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.009999	2.587000	13.355000	19.496000	2.468000	16.992000	25.468000	
1.000000	0.009998	2.190000	30.121000	39.080000	2.125000	36.711000	43.407000	
2.000000	0.009995	2.024000	39.089000	48.675000	1.835000	50.262000	58.397000	
3.000000	0.009990	1.939000	43.952000	53.608000	1.871000	46.034000	55.656000	
4.000000	0.009985	1.868000	48.277000	57.725000	1.747000	52.321000	61.589000	
5.000000	0.009978	1.806000	52.966000	61.701000	1.729000	56.129000	63.081000	
6.000000	0.009970	1.740000	58.002000	65.423000	1.733000	58.229000	62.838000	
7.000000	0.009961	1.710000	60.069000	66.775000	1.633000	61.534000	68.355000	
8.000000	0.009951	1.669000	63.233000	69.373000	1.645000	61.860000	66.759000	
9.000000	0.009939	1.640000	65.144000	70.813000	1.596000	66.694000	70.160000	
10.000000	0.009926	1.614000	67.634000	72.314000	1.598000	66.048000	70.576000	
11.000000	0.009912	1.574000	69.640000	74.245000	1.583000	65.024000	70.680000	
12.000000	0.009897	1.558000	70.850000	75.097000	1.505000	71.167000	75.295000	
13.000000	0.009881	1.539000	72.426000	76.387000	1.495000	72.396000	75.746000	
14.000000	0.009863	1.519000	73.233000	77.133000	1.561000	69.239000	73.282000	
15.000000	0.009844	1.494000	74.789000	78.257000	1.526000	71.820000	75.087000	
16.000000	0.009825	1.467000	77.495000	80.495000	1.506000	72.822000	75.434000	
17.000000	0.009803	1.469000	77.321000	80.047000	1.483000	72.436000	76.301000	
18.000000	0.009781	1.445000	78.398000	81.215000	1.482000	73.973000	77.134000	
19.000000	0.009758	1.432000	79.090000	81.908000	1.461000	74.762000	77.759000	
20.000000	0.009733	1.427000	79.442000	82.154000	1.466000	76.433000	78.210000	
21.000000	0.009707	1.415000	80.301000	82.865000	1.445000	74.890000	78.695000	
22.000000	0.009680	1.402000	81.348000	83.436000	1.477000	76.326000	78.210000	
23.000000	0.009652	1.393000	82.262000	84.524000	1.488000	73.038000	76.787000	
24.000000	0.009623	1.377000	82.793000	84.963000	1.414000	76.971000	80.291000	
25.000000	0.009593	1.369000	82.858000	84.981000	1.456000	75.055000	78.210000	
26.000000	0.009561	1.361000	84.177000	85.911000	1.473000	74.877000	78.071000	
27.000000	0.009529	1.360000	83.206000	85.297000	1.486000	75.150000	77.342000	
28.000000	0.009495	1.352000	83.634000	85.657000	1.451000	76.900000	78.695000	
29.000000	0.009460	1.342000	84.644000	86.534000	1.493000	74.151000	76.718000	
30.000000	0.009425	1.319000	86.679000	88.229000	1.424000	76.386000	79.146000	
31.000000	0.009388	1.321000	86.302000	87.930000	1.432000	76.424000	79.875000	
32.000000	0.009350	1.315000	86.818000	88.334000	1.469000	75.331000	79.042000	
33.000000	0.009311	1.306000	87.502000	88.703000	1.451000	75.901000	78.626000	
34.000000	0.009271	1.300000	88.088000	89.221000	1.410000	76.688000	81.020000	
35.000000	0.009229	1.286000	88.615000	89.800000	1.431000	76.759000	79.632000	
36.000000	0.009187	1.283000	88.756000	90.002000	1.430000	77.801000	80.638000	
37.000000	0.009144	1.276000	88.988000	90.309000	1.408000	78.009000	80.708000	
38.000000	0.009100	1.265000	89.458000	90.660000	1.444000	76.664000	79.355000	
39.000000	0.009055	1.263000	89.688000	90.695000	1.409000	78.959000	81.714000	
40.000000	0.009008	1.256000	90.577000	91.406000	1.478000	74.923000	78.071000	
41.000000	0.008961	1.249000	90.563000	91.678000	1.433000	78.883000	81.298000	
42.000000	0.008913	1.248000	90.730000	91.670000	1.448000	75.548000	79.389000	
43.000000	0.008864	1.242000	91.398000	92.284000	1.408000	78.767000	81.437000	
44.000000	0.008814	1.230000	91.371000	92.442000	1.422000	78.774000	80.604000	
45.000000	0.008763	1.230000	92.022000	92.732000	1.416000	78.915000	81.645000	
46.000000	0.008711	1.228000	91.766000	92.583000	1.419000	78.214000	80.916000	
47.000000	0.008658	1.226000	92.022000	92.714000	1.449000	76.574000	79.181000	
48.000000	0.008605	1.213000	92.611000	93.434000	1.404000	79.489000	82.200000	
49.000000	0.008550	1.211000	92.695000	93.337000	1.411000	78.896000	81.298000	
50.000000	0.008495	1.210000	92.613000	93.557000	1.432000	76.451000	79.355000	
